CMDLINE c:\programdata\anaconda3\python.exe mem_test.py
MEM 0.500000 1554482525.8619
MEM 14.312500 1554482525.9619
MEM 23.050781 1554482526.0619
MEM 30.289062 1554482526.1619
MEM 37.058594 1554482526.2620
MEM 45.933594 1554482526.3620
MEM 49.820312 1554482526.4624
MEM 49.820312 1554482526.5631
MEM 49.820312 1554482526.6640
MEM 49.820312 1554482526.7646
MEM 49.820312 1554482526.8653
MEM 49.820312 1554482526.9655
MEM 49.820312 1554482527.0659
MEM 51.328125 1554482527.1667
MEM 62.035156 1554482527.2668
MEM 69.277344 1554482527.3668
MEM 73.609375 1554482527.4668
MEM 81.707031 1554482527.5668
MEM 90.941406 1554482527.6668
MEM 93.832031 1554482527.7669
MEM 100.195312 1554482527.8669
MEM 100.496094 1554482527.9669
MEM 100.890625 1554482528.0669
MEM 102.140625 1554482528.1670
MEM 108.125000 1554482528.2670
MEM 108.539062 1554482528.3670
MEM 109.011719 1554482528.4670
MEM 109.140625 1554482528.5671
MEM 109.210938 1554482528.6671
MEM 109.699219 1554482528.7671
MEM 109.703125 1554482528.8671
MEM 109.710938 1554482528.9671
MEM 109.722656 1554482529.0672
MEM 109.726562 1554482529.1672
MEM 109.875000 1554482529.2672
MEM 109.972656 1554482529.3672
MEM 109.976562 1554482529.4673
MEM 109.976562 1554482529.5673
MEM 109.976562 1554482529.6673
MEM 109.976562 1554482529.7673
MEM 109.976562 1554482529.8674
MEM 109.976562 1554482529.9674
MEM 110.054688 1554482530.0674
MEM 110.054688 1554482530.1674
MEM 110.070312 1554482530.2674
MEM 110.070312 1554482530.3675
MEM 110.070312 1554482530.4675
MEM 110.070312 1554482530.5675
MEM 110.070312 1554482530.6675
MEM 110.070312 1554482530.7676
MEM 110.070312 1554482530.8676
MEM 110.132812 1554482530.9676
MEM 110.132812 1554482531.0676
MEM 110.132812 1554482531.1676
MEM 110.132812 1554482531.2677
MEM 110.132812 1554482531.3677
MEM 110.132812 1554482531.4677
MEM 110.132812 1554482531.5677
MEM 110.136719 1554482531.6678
MEM 110.136719 1554482531.7678
MEM 110.136719 1554482531.8678
MEM 110.136719 1554482531.9678
MEM 110.136719 1554482532.0678
MEM 110.136719 1554482532.1679
MEM 110.136719 1554482532.2679
MEM 110.136719 1554482532.3679
MEM 110.136719 1554482532.4679
MEM 110.136719 1554482532.5680
MEM 110.136719 1554482532.6680
MEM 110.136719 1554482532.7680
MEM 110.136719 1554482532.8680
MEM 110.136719 1554482532.9681
MEM 110.136719 1554482533.0681
MEM 110.136719 1554482533.1681
MEM 110.136719 1554482533.2681
MEM 110.152344 1554482533.3681
MEM 110.152344 1554482533.4682
MEM 110.152344 1554482533.5682
MEM 110.152344 1554482533.6682
MEM 110.152344 1554482533.7682
MEM 110.152344 1554482533.8682
MEM 110.152344 1554482533.9683
MEM 110.152344 1554482534.0683
MEM 110.156250 1554482534.1683
MEM 110.160156 1554482534.2683
MEM 110.160156 1554482534.3684
MEM 110.160156 1554482534.4684
MEM 110.160156 1554482534.5684
MEM 110.160156 1554482534.6684
MEM 110.164062 1554482534.7685
MEM 110.164062 1554482534.8685
MEM 110.167969 1554482534.9685
MEM 110.179688 1554482535.0685
MEM 110.179688 1554482535.1686
MEM 110.179688 1554482535.2686
MEM 110.179688 1554482535.3686
MEM 110.179688 1554482535.4686
MEM 110.179688 1554482535.5686
MEM 110.191406 1554482535.6687
MEM 110.195312 1554482535.7687
MEM 110.195312 1554482535.8687
MEM 110.195312 1554482535.9687
MEM 110.195312 1554482536.0687
MEM 110.195312 1554482536.1688
MEM 110.199219 1554482536.2688
MEM 110.269531 1554482536.3688
MEM 110.269531 1554482536.4688
MEM 110.269531 1554482536.5689
MEM 110.269531 1554482536.6689
MEM 110.269531 1554482536.7689
MEM 110.269531 1554482536.8689
MEM 110.269531 1554482536.9690
MEM 110.269531 1554482537.0690
MEM 110.269531 1554482537.1690
MEM 110.269531 1554482537.2690
MEM 110.277344 1554482537.3690
MEM 110.277344 1554482537.4691
MEM 110.277344 1554482537.5691
MEM 110.277344 1554482537.6691
MEM 110.296875 1554482537.7691
MEM 110.296875 1554482537.8692
MEM 110.296875 1554482537.9692
MEM 110.296875 1554482538.0692
MEM 110.296875 1554482538.1692
MEM 110.312500 1554482538.2692
MEM 110.328125 1554482538.3693
MEM 110.328125 1554482538.4693
MEM 110.328125 1554482538.5693
MEM 110.328125 1554482538.6693
MEM 110.328125 1554482538.7694
MEM 110.328125 1554482538.8694
MEM 110.328125 1554482538.9694
MEM 110.328125 1554482539.0694
MEM 110.339844 1554482539.1694
MEM 110.339844 1554482539.2695
MEM 110.339844 1554482539.3695
MEM 110.339844 1554482539.4695
MEM 110.355469 1554482539.5695
MEM 110.355469 1554482539.6696
MEM 110.355469 1554482539.7696
MEM 110.355469 1554482539.8696
MEM 110.355469 1554482539.9696
MEM 110.417969 1554482540.0697
MEM 110.417969 1554482540.1697
MEM 110.417969 1554482540.2697
MEM 110.417969 1554482540.3697
MEM 110.417969 1554482540.4697
MEM 110.417969 1554482540.5698
MEM 110.417969 1554482540.6698
MEM 110.437500 1554482540.7698
MEM 110.437500 1554482540.8698
MEM 110.437500 1554482540.9699
MEM 110.437500 1554482541.0699
MEM 110.437500 1554482541.1699
MEM 110.437500 1554482541.2699
MEM 110.437500 1554482541.3700
MEM 110.437500 1554482541.4700
MEM 110.437500 1554482541.5700
MEM 110.437500 1554482541.6700
MEM 110.437500 1554482541.7700
MEM 110.437500 1554482541.8701
MEM 110.437500 1554482541.9701
MEM 110.437500 1554482542.0701
MEM 110.437500 1554482542.1701
MEM 110.437500 1554482542.2702
MEM 110.441406 1554482542.3702
MEM 110.441406 1554482542.4702
MEM 110.445312 1554482542.5702
MEM 110.445312 1554482542.6702
MEM 110.445312 1554482542.7703
MEM 110.445312 1554482542.8703
MEM 110.445312 1554482542.9703
MEM 110.445312 1554482543.0703
MEM 110.445312 1554482543.1704
MEM 110.445312 1554482543.2704
MEM 110.445312 1554482543.3704
MEM 110.445312 1554482543.4704
MEM 110.445312 1554482543.5704
MEM 110.445312 1554482543.6705
MEM 110.445312 1554482543.7705
MEM 110.445312 1554482543.8705
MEM 110.445312 1554482543.9705
MEM 110.445312 1554482544.0706
MEM 110.445312 1554482544.1706
MEM 110.445312 1554482544.2706
MEM 110.445312 1554482544.3706
MEM 110.445312 1554482544.4707
MEM 110.445312 1554482544.5707
MEM 110.445312 1554482544.6707
MEM 110.445312 1554482544.7707
MEM 110.445312 1554482544.8707
MEM 110.445312 1554482544.9708
MEM 110.445312 1554482545.0708
MEM 110.445312 1554482545.1708
MEM 110.445312 1554482545.2708
MEM 110.445312 1554482545.3709
MEM 110.445312 1554482545.4709
MEM 110.445312 1554482545.5709
MEM 110.445312 1554482545.6709
MEM 110.445312 1554482545.7709
MEM 110.445312 1554482545.8710
MEM 110.445312 1554482545.9710
MEM 110.445312 1554482546.0710
MEM 110.445312 1554482546.1710
MEM 110.445312 1554482546.2711
MEM 110.445312 1554482546.3711
MEM 110.445312 1554482546.4711
MEM 110.445312 1554482546.5711
MEM 110.445312 1554482546.6711
MEM 110.445312 1554482546.7712
MEM 110.445312 1554482546.8712
MEM 110.445312 1554482546.9712
MEM 110.445312 1554482547.0712
MEM 110.445312 1554482547.1713
MEM 110.445312 1554482547.2713
MEM 110.445312 1554482547.3713
MEM 110.445312 1554482547.4713
MEM 110.445312 1554482547.5714
MEM 110.445312 1554482547.6714
MEM 110.445312 1554482547.7714
MEM 110.445312 1554482547.8714
MEM 110.445312 1554482547.9714
MEM 110.445312 1554482548.0715
MEM 110.445312 1554482548.1715
MEM 110.445312 1554482548.2715
MEM 110.445312 1554482548.3715
MEM 110.445312 1554482548.4716
MEM 110.445312 1554482548.5716
MEM 110.445312 1554482548.6716
MEM 110.445312 1554482548.7716
MEM 110.445312 1554482548.8716
MEM 110.445312 1554482548.9717
MEM 110.445312 1554482549.0717
MEM 110.445312 1554482549.1717
MEM 110.445312 1554482549.2717
MEM 110.445312 1554482549.3718
MEM 110.445312 1554482549.4718
MEM 110.445312 1554482549.5718
MEM 110.445312 1554482549.6718
MEM 110.445312 1554482549.7718
MEM 110.445312 1554482549.8719
MEM 110.445312 1554482549.9719
MEM 110.445312 1554482550.0719
MEM 110.445312 1554482550.1719
MEM 110.445312 1554482550.2720
MEM 110.445312 1554482550.3720
MEM 110.445312 1554482550.4720
MEM 110.445312 1554482550.5720
MEM 110.445312 1554482550.6720
MEM 110.445312 1554482550.7721
MEM 110.445312 1554482550.8721
MEM 110.445312 1554482550.9721
MEM 110.445312 1554482551.0721
MEM 110.445312 1554482551.1722
MEM 110.445312 1554482551.2722
MEM 110.445312 1554482551.3722
MEM 110.445312 1554482551.4722
MEM 110.445312 1554482551.5723
MEM 110.445312 1554482551.6723
MEM 110.445312 1554482551.7723
MEM 110.445312 1554482551.8723
MEM 110.445312 1554482551.9723
MEM 110.445312 1554482552.0724
MEM 110.445312 1554482552.1724
MEM 110.445312 1554482552.2724
MEM 110.445312 1554482552.3724
MEM 110.445312 1554482552.4725
MEM 110.445312 1554482552.5725
MEM 110.445312 1554482552.6725
MEM 110.445312 1554482552.7725
MEM 110.445312 1554482552.8725
MEM 110.445312 1554482552.9726
MEM 110.445312 1554482553.0726
MEM 110.445312 1554482553.1726
MEM 110.445312 1554482553.2726
MEM 110.445312 1554482553.3727
MEM 110.445312 1554482553.4727
MEM 110.445312 1554482553.5727
MEM 110.445312 1554482553.6727
MEM 110.445312 1554482553.7727
MEM 110.445312 1554482553.8728
MEM 110.445312 1554482553.9728
MEM 110.445312 1554482554.0728
MEM 110.445312 1554482554.1728
MEM 110.445312 1554482554.2729
MEM 110.445312 1554482554.3729
MEM 110.445312 1554482554.4729
MEM 110.445312 1554482554.5729
MEM 110.445312 1554482554.6729
MEM 110.445312 1554482554.7730
MEM 110.445312 1554482554.8730
MEM 110.445312 1554482554.9730
MEM 110.445312 1554482555.0730
MEM 110.445312 1554482555.1731
MEM 110.445312 1554482555.2731
MEM 110.445312 1554482555.3731
MEM 110.445312 1554482555.4731
MEM 110.445312 1554482555.5732
MEM 110.445312 1554482555.6732
MEM 110.445312 1554482555.7732
MEM 110.488281 1554482555.8732
MEM 110.488281 1554482555.9732
MEM 110.488281 1554482556.0733
MEM 110.488281 1554482556.1733
MEM 110.488281 1554482556.2733
MEM 110.550781 1554482556.3733
MEM 110.550781 1554482556.4734
MEM 110.550781 1554482556.5734
MEM 110.550781 1554482556.6734
MEM 110.550781 1554482556.7734
MEM 110.550781 1554482556.8735
MEM 110.550781 1554482556.9735
MEM 110.550781 1554482557.0735
MEM 110.550781 1554482557.1735
MEM 110.550781 1554482557.2735
MEM 110.550781 1554482557.3736
MEM 110.550781 1554482557.4736
MEM 110.550781 1554482557.5736
MEM 110.550781 1554482557.6736
MEM 110.550781 1554482557.7736
MEM 110.550781 1554482557.8737
MEM 110.550781 1554482557.9737
MEM 110.550781 1554482558.0737
MEM 110.562500 1554482558.1737
MEM 110.562500 1554482558.2738
MEM 109.312500 1554482558.3738
