CMDLINE c:\programdata\anaconda3\python.exe mem_test.py
MEM 0.460938 1554309488.2500
MEM 14.632812 1554309488.3500
MEM 23.167969 1554309488.4500
MEM 30.160156 1554309488.5501
MEM 36.960938 1554309488.6501
MEM 46.156250 1554309488.7501
MEM 56.824219 1554309488.8501
MEM 63.453125 1554309488.9502
MEM 74.429688 1554309489.0502
MEM 81.761719 1554309489.1502
MEM 90.011719 1554309489.2502
MEM 95.679688 1554309489.3502
MEM 105.449219 1554309489.4503
MEM 110.355469 1554309489.5503
MEM 117.617188 1554309489.6503
MEM 118.820312 1554309489.7503
MEM 118.835938 1554309489.8504
MEM 119.339844 1554309489.9504
MEM 126.203125 1554309490.0504
MEM 126.812500 1554309490.1504
MEM 128.027344 1554309490.2504
MEM 130.113281 1554309490.3505
MEM 135.261719 1554309490.4505
MEM 138.222656 1554309490.5505
MEM 139.824219 1554309490.6505
MEM 140.679688 1554309490.7506
MEM 139.125000 1554309490.8506
