CMDLINE c:\programdata\anaconda3\python.exe mem_test.py
MEM 0.355469 1554485623.5950
MEM 14.921875 1554485623.7076
MEM 24.445312 1554485623.8152
MEM 29.882812 1554485623.9228
MEM 37.523438 1554485624.0305
MEM 37.523438 1554485624.1421
MEM 38.355469 1554485624.2497
MEM 38.996094 1554485624.3571
MEM 39.761719 1554485624.4648
MEM 40.761719 1554485624.5724
MEM 41.191406 1554485624.6841
MEM 41.828125 1554485624.7916
MEM 42.429688 1554485624.8995
MEM 42.804688 1554485625.0068
MEM 43.824219 1554485625.1146
MEM 45.218750 1554485625.2225
MEM 46.378906 1554485625.3303
MEM 47.210938 1554485625.4380
MEM 47.976562 1554485625.5456
MEM 48.792969 1554485625.6502
MEM 49.281250 1554485625.7503
MEM 50.136719 1554485625.8652
MEM 50.406250 1554485625.9654
MEM 50.996094 1554485626.0804
MEM 51.156250 1554485626.1881
MEM 52.109375 1554485626.2958
MEM 52.773438 1554485626.4036
MEM 53.945312 1554485626.5040
MEM 55.550781 1554485626.6182
MEM 57.375000 1554485626.7185
MEM 58.382812 1554485626.8335
MEM 60.175781 1554485626.9412
MEM 61.910156 1554485627.0490
MEM 63.523438 1554485627.1566
MEM 64.339844 1554485627.2642
MEM 65.195312 1554485627.3717
MEM 65.500000 1554485627.4794
MEM 66.265625 1554485627.5831
MEM 67.242188 1554485627.6982
MEM 67.679688 1554485627.8057
MEM 68.128906 1554485627.9134
MEM 68.441406 1554485628.0209
MEM 68.812500 1554485628.1285
MEM 69.332031 1554485628.2357
MEM 69.632812 1554485628.3432
MEM 70.027344 1554485628.4506
MEM 70.562500 1554485628.5578
MEM 71.117188 1554485628.6686
MEM 71.429688 1554485628.7762
MEM 71.683594 1554485628.8837
MEM 72.449219 1554485628.9914
MEM 73.230469 1554485629.0988
MEM 73.894531 1554485629.2110
MEM 74.078125 1554485629.3192
MEM 74.164062 1554485629.4269
MEM 74.355469 1554485629.5346
MEM 74.355469 1554485629.6389
MEM 74.617188 1554485629.7467
MEM 76.035156 1554485629.8540
MEM 76.507812 1554485629.9617
MEM 76.628906 1554485630.0699
MEM 76.839844 1554485630.1770
MEM 77.007812 1554485630.2846
MEM 77.437500 1554485630.3922
MEM 77.976562 1554485630.4998
MEM 78.851562 1554485630.6112
MEM 79.332031 1554485630.7190
MEM 80.250000 1554485630.8267
MEM 80.996094 1554485630.9342
MEM 81.429688 1554485631.0418
MEM 82.097656 1554485631.1496
MEM 82.265625 1554485631.2497
MEM 82.492188 1554485631.3651
MEM 82.769531 1554485631.4727
MEM 82.984375 1554485631.5732
MEM 83.492188 1554485631.6741
MEM 83.925781 1554485631.7815
MEM 84.343750 1554485631.8887
MEM 84.757812 1554485631.9963
MEM 86.007812 1554485632.1037
MEM 87.769531 1554485632.2113
MEM 88.500000 1554485632.3187
MEM 89.160156 1554485632.4262
MEM 89.417969 1554485632.5339
MEM 90.320312 1554485632.6414
MEM 93.257812 1554485632.7489
MEM 95.761719 1554485632.8565
MEM 96.195312 1554485632.9642
MEM 96.195312 1554485633.0719
MEM 96.195312 1554485633.1835
MEM 96.382812 1554485633.2913
MEM 96.699219 1554485633.3992
MEM 97.039062 1554485633.5066
MEM 97.738281 1554485633.6142
MEM 98.183594 1554485633.7257
MEM 98.812500 1554485633.8330
MEM 99.261719 1554485633.9409
MEM 100.171875 1554485634.0416
MEM 100.683594 1554485634.1537
MEM 100.945312 1554485634.2620
MEM 101.070312 1554485634.3694
MEM 101.351562 1554485634.4768
MEM 101.351562 1554485634.5846
MEM 101.351562 1554485634.6945
MEM 101.351562 1554485634.8025
MEM 101.359375 1554485634.9100
MEM 101.617188 1554485635.0177
MEM 101.835938 1554485635.1293
MEM 101.902344 1554485635.2367
MEM 102.074219 1554485635.3443
MEM 103.402344 1554485635.4519
MEM 104.246094 1554485635.5598
MEM 104.792969 1554485635.6643
MEM 104.820312 1554485635.7720
MEM 105.085938 1554485635.8795
MEM 105.308594 1554485635.9872
MEM 105.308594 1554485636.0947
MEM 105.308594 1554485636.2063
MEM 105.308594 1554485636.3199
MEM 105.328125 1554485636.4276
MEM 105.394531 1554485636.5353
MEM 105.402344 1554485636.6390
MEM 105.402344 1554485636.7392
MEM 105.402344 1554485636.8468
MEM 105.402344 1554485636.9545
MEM 105.406250 1554485637.0621
MEM 105.406250 1554485637.1748
MEM 105.417969 1554485637.2823
MEM 105.421875 1554485637.3900
MEM 105.433594 1554485637.4976
MEM 105.449219 1554485637.6053
MEM 105.457031 1554485637.7094
MEM 105.464844 1554485637.8170
MEM 105.531250 1554485637.9247
MEM 105.531250 1554485638.0323
MEM 105.531250 1554485638.1444
MEM 105.531250 1554485638.2521
MEM 105.531250 1554485638.3597
MEM 105.531250 1554485638.4688
MEM 105.531250 1554485638.5764
MEM 105.531250 1554485638.6766
MEM 105.531250 1554485638.7842
MEM 105.531250 1554485638.8919
MEM 105.531250 1554485638.9995
MEM 105.531250 1554485639.1071
MEM 105.531250 1554485639.2187
MEM 105.531250 1554485639.3263
MEM 105.531250 1554485639.4340
MEM 105.593750 1554485639.5416
MEM 105.593750 1554485639.6493
MEM 105.593750 1554485639.7569
MEM 105.593750 1554485639.8645
MEM 105.593750 1554485639.9721
MEM 105.593750 1554485640.0798
MEM 105.593750 1554485640.1915
MEM 105.593750 1554485640.2990
MEM 105.593750 1554485640.4066
MEM 105.593750 1554485640.5143
MEM 105.593750 1554485640.6219
MEM 105.593750 1554485640.7295
MEM 105.593750 1554485640.8372
MEM 105.593750 1554485640.9448
MEM 105.593750 1554485641.0524
MEM 105.593750 1554485641.1640
MEM 105.593750 1554485641.2717
MEM 105.593750 1554485641.3793
MEM 105.593750 1554485641.4869
MEM 105.593750 1554485641.5945
MEM 105.660156 1554485641.7022
MEM 105.660156 1554485641.8098
MEM 105.660156 1554485641.9174
MEM 105.660156 1554485642.0251
MEM 105.660156 1554485642.1327
MEM 105.660156 1554485642.2404
MEM 105.660156 1554485642.3482
MEM 105.660156 1554485642.4556
MEM 105.660156 1554485642.5633
MEM 105.660156 1554485642.6749
MEM 105.660156 1554485642.7826
MEM 105.660156 1554485642.8901
MEM 105.660156 1554485642.9977
MEM 105.660156 1554485643.1054
MEM 105.660156 1554485643.2130
MEM 105.660156 1554485643.3207
MEM 105.660156 1554485643.4283
MEM 105.660156 1554485643.5359
MEM 105.664062 1554485643.6435
MEM 105.664062 1554485643.7551
MEM 105.664062 1554485643.8628
MEM 105.664062 1554485643.9705
MEM 105.664062 1554485644.0780
MEM 105.664062 1554485644.1896
MEM 105.664062 1554485644.2973
MEM 105.664062 1554485644.4049
MEM 105.664062 1554485644.5125
MEM 105.664062 1554485644.6202
MEM 105.664062 1554485644.7283
MEM 105.664062 1554485644.8359
MEM 105.664062 1554485644.9435
MEM 105.664062 1554485645.0512
MEM 105.664062 1554485645.1588
MEM 105.664062 1554485645.2664
MEM 105.664062 1554485645.3741
MEM 105.664062 1554485645.4817
MEM 105.664062 1554485645.5893
MEM 105.664062 1554485645.7014
MEM 105.664062 1554485645.8091
MEM 105.664062 1554485645.9167
MEM 105.664062 1554485646.0243
MEM 105.664062 1554485646.1319
MEM 105.664062 1554485646.2396
