CMDLINE c:\programdata\anaconda3\python.exe mem_test.py
MEM 0.390625 1554486346.4119
MEM 11.785156 1554486346.5221
MEM 21.964844 1554486346.6299
MEM 29.445312 1554486346.7373
MEM 36.671875 1554486346.8448
MEM 46.761719 1554486346.9527
MEM 57.992188 1554486347.0601
MEM 65.722656 1554486347.1678
MEM 73.300781 1554486347.2754
MEM 82.117188 1554486347.3830
MEM 86.863281 1554486347.4907
MEM 93.261719 1554486347.5984
MEM 95.894531 1554486347.7060
MEM 96.167969 1554486347.8136
MEM 100.253906 1554486347.9212
MEM 101.660156 1554486348.0288
MEM 101.957031 1554486348.1362
MEM 103.214844 1554486348.2439
MEM 103.406250 1554486348.3512
MEM 103.468750 1554486348.4589
MEM 103.468750 1554486348.5667
MEM 103.468750 1554486348.6741
MEM 103.468750 1554486348.7818
MEM 103.468750 1554486348.8894
MEM 103.468750 1554486348.9995
MEM 103.468750 1554486349.1166
MEM 103.468750 1554486349.2277
MEM 103.468750 1554486349.3353
MEM 103.468750 1554486349.4429
MEM 103.468750 1554486349.5506
MEM 103.468750 1554486349.6583
MEM 103.468750 1554486349.7658
MEM 103.468750 1554486349.8717
MEM 103.468750 1554486349.9791
MEM 103.468750 1554486350.0867
MEM 103.468750 1554486350.1944
MEM 103.468750 1554486350.3055
MEM 103.468750 1554486350.4131
MEM 103.468750 1554486350.5252
MEM 103.468750 1554486350.6328
MEM 103.468750 1554486350.7405
MEM 103.468750 1554486350.8446
MEM 103.468750 1554486350.9523
MEM 103.468750 1554486351.0599
MEM 103.468750 1554486351.1675
MEM 103.468750 1554486351.2753
MEM 103.468750 1554486351.3829
MEM 103.468750 1554486351.4904
MEM 103.468750 1554486351.5981
MEM 103.468750 1554486351.7057
MEM 103.468750 1554486351.8133
MEM 103.468750 1554486351.9210
MEM 103.468750 1554486352.0286
MEM 103.468750 1554486352.1402
MEM 103.468750 1554486352.2479
MEM 103.468750 1554486352.3554
MEM 103.468750 1554486352.4631
MEM 103.468750 1554486352.5707
MEM 103.468750 1554486352.6784
MEM 103.468750 1554486352.7860
MEM 103.468750 1554486352.8937
MEM 103.468750 1554486353.0012
MEM 103.468750 1554486353.1089
MEM 103.468750 1554486353.2205
MEM 103.468750 1554486353.3282
MEM 103.468750 1554486353.4357
MEM 103.468750 1554486353.5434
MEM 103.468750 1554486353.6510
MEM 103.468750 1554486353.7586
