CMDLINE c:\programdata\anaconda3\python.exe mem_test.py
MEM 0.734375 1554309510.7923
MEM 14.375000 1554309510.8923
MEM 22.937500 1554309510.9923
MEM 30.207031 1554309511.0923
MEM 36.890625 1554309511.1924
MEM 45.882812 1554309511.2924
MEM 57.042969 1554309511.3924
MEM 63.714844 1554309511.4924
MEM 74.402344 1554309511.5925
MEM 81.558594 1554309511.6925
MEM 90.160156 1554309511.7925
MEM 95.292969 1554309511.8925
MEM 105.125000 1554309511.9926
MEM 110.222656 1554309512.0926
MEM 117.695312 1554309512.1926
MEM 118.769531 1554309512.2926
MEM 118.832031 1554309512.3926
MEM 119.117188 1554309512.4927
MEM 126.632812 1554309512.5927
MEM 127.187500 1554309512.6927
MEM 128.031250 1554309512.7927
MEM 130.023438 1554309512.8927
MEM 134.925781 1554309512.9928
MEM 137.878906 1554309513.0928
MEM 139.367188 1554309513.1928
MEM 140.308594 1554309513.2928
MEM 140.312500 1554309513.3929
MEM 14.773438 1554309513.5019
