CMDLINE c:\programdata\anaconda3\python.exe mem_test.py
MEM 0.488281 1554309362.0865
MEM 14.085938 1554309362.1865
MEM 22.347656 1554309362.2866
MEM 29.949219 1554309362.3866
MEM 36.859375 1554309362.4866
MEM 44.515625 1554309362.5866
MEM 56.367188 1554309362.6867
MEM 63.187500 1554309362.7867
MEM 74.378906 1554309362.8867
MEM 80.683594 1554309362.9867
MEM 89.351562 1554309363.0868
MEM 94.812500 1554309363.1868
MEM 104.304688 1554309363.2868
MEM 110.148438 1554309363.3868
MEM 116.398438 1554309363.4868
MEM 118.527344 1554309363.5869
MEM 118.613281 1554309363.6869
MEM 118.820312 1554309363.7869
MEM 125.929688 1554309363.8869
MEM 126.761719 1554309363.9870
MEM 126.761719 1554309364.0870
MEM 128.667969 1554309364.1870
MEM 131.890625 1554309364.2870
MEM 138.058594 1554309364.3870
MEM 138.609375 1554309364.4871
MEM 140.011719 1554309364.5871
MEM 140.125000 1554309364.6871
MEM 140.398438 1554309364.7871
MEM 141.093750 1554309364.8872
MEM 137.871094 1554309364.9872
