CMDLINE c:\programdata\anaconda3\python.exe mem_test.py
MEM 0.492188 1554309068.0304
MEM 14.351562 1554309068.1304
MEM 23.218750 1554309068.2304
MEM 30.238281 1554309068.3304
MEM 36.945312 1554309068.4305
MEM 45.929688 1554309068.5305
MEM 56.398438 1554309068.6305
MEM 63.503906 1554309068.7305
MEM 74.230469 1554309068.8305
MEM 81.031250 1554309068.9306
MEM 89.718750 1554309069.0306
MEM 95.312500 1554309069.1306
MEM 104.953125 1554309069.2306
MEM 110.203125 1554309069.3307
MEM 117.429688 1554309069.4307
MEM 118.648438 1554309069.5307
MEM 118.722656 1554309069.6307
MEM 119.039062 1554309069.7307
MEM 126.242188 1554309069.8308
MEM 126.742188 1554309069.9308
MEM 127.378906 1554309070.0308
MEM 129.851562 1554309070.1308
MEM 134.679688 1554309070.2309
MEM 137.828125 1554309070.3309
MEM 139.812500 1554309070.4309
MEM 139.871094 1554309070.5309
MEM 140.015625 1554309070.6309
MEM 140.023438 1554309070.7310
MEM 136.015625 1554309070.8310
