CMDLINE c:\programdata\anaconda3\python.exe mem_test.py
MEM 0.507812 1554482650.8932
MEM 14.507812 1554482650.9936
MEM 23.089844 1554482651.0936
MEM 30.531250 1554482651.1936
MEM 37.074219 1554482651.2937
MEM 46.035156 1554482651.3937
MEM 49.832031 1554482651.4945
MEM 49.832031 1554482651.5954
MEM 49.832031 1554482651.6959
MEM 49.832031 1554482651.7964
MEM 49.832031 1554482651.8972
MEM 49.832031 1554482651.9980
MEM 49.832031 1554482652.0984
MEM 51.277344 1554482652.1989
MEM 62.000000 1554482652.2989
MEM 69.746094 1554482652.3989
MEM 75.128906 1554482652.4989
MEM 86.707031 1554482652.5990
MEM 91.855469 1554482652.6990
MEM 99.316406 1554482652.7990
MEM 100.335938 1554482652.8990
MEM 100.406250 1554482652.9991
MEM 100.609375 1554482653.0991
MEM 105.742188 1554482653.1991
MEM 106.382812 1554482653.2991
MEM 108.261719 1554482653.3991
MEM 108.792969 1554482653.4992
MEM 109.238281 1554482653.5992
MEM 109.242188 1554482653.6992
MEM 109.714844 1554482653.7992
MEM 109.714844 1554482653.8993
MEM 109.722656 1554482653.9993
MEM 109.722656 1554482654.0993
MEM 109.722656 1554482654.1993
MEM 109.750000 1554482654.2994
MEM 109.820312 1554482654.3994
MEM 109.828125 1554482654.4994
MEM 109.828125 1554482654.5994
MEM 109.828125 1554482654.6994
MEM 109.828125 1554482654.7995
MEM 109.828125 1554482654.8995
MEM 109.828125 1554482654.9995
MEM 109.835938 1554482655.0995
MEM 109.898438 1554482655.1996
MEM 109.898438 1554482655.2996
MEM 109.898438 1554482655.3996
MEM 109.898438 1554482655.4996
MEM 109.898438 1554482655.5996
MEM 109.898438 1554482655.6997
MEM 109.898438 1554482655.7997
MEM 109.960938 1554482655.8997
MEM 109.960938 1554482655.9997
MEM 109.960938 1554482656.0998
MEM 109.960938 1554482656.1998
MEM 109.960938 1554482656.2998
MEM 109.960938 1554482656.3998
MEM 109.960938 1554482656.4998
MEM 109.960938 1554482656.5999
MEM 109.960938 1554482656.6999
MEM 109.960938 1554482656.7999
MEM 109.960938 1554482656.8999
MEM 109.960938 1554482657.0000
MEM 109.960938 1554482657.1000
MEM 109.960938 1554482657.2000
MEM 109.960938 1554482657.3000
MEM 109.960938 1554482657.4001
MEM 109.960938 1554482657.5001
MEM 109.960938 1554482657.6001
MEM 109.960938 1554482657.7001
MEM 109.960938 1554482657.8001
MEM 109.960938 1554482657.9002
MEM 109.960938 1554482658.0002
MEM 109.960938 1554482658.1002
MEM 109.960938 1554482658.2002
MEM 109.960938 1554482658.3002
MEM 109.968750 1554482658.4003
MEM 109.968750 1554482658.5003
MEM 109.968750 1554482658.6003
MEM 109.968750 1554482658.7003
MEM 109.968750 1554482658.8004
MEM 109.968750 1554482658.9004
MEM 109.968750 1554482659.0004
MEM 109.976562 1554482659.1004
MEM 109.980469 1554482659.2005
MEM 109.980469 1554482659.3005
MEM 109.980469 1554482659.4005
MEM 109.980469 1554482659.5005
MEM 109.980469 1554482659.6005
MEM 109.980469 1554482659.7006
MEM 109.980469 1554482659.8006
MEM 109.980469 1554482659.9006
MEM 109.980469 1554482660.0006
MEM 109.988281 1554482660.1007
MEM 109.996094 1554482660.2007
MEM 109.996094 1554482660.3007
