CMDLINE c:\programdata\anaconda3\python.exe mem_test.py
MEM 140.570312 1554307676.2672
MEM 140.570312 1554307676.3673
MEM 140.570312 1554307676.4673
MEM 140.570312 1554307676.5673
MEM 140.570312 1554307676.6673
MEM 140.570312 1554307676.7674
MEM 140.570312 1554307676.8674
MEM 140.570312 1554307676.9674
MEM 140.570312 1554307677.0674
MEM 140.570312 1554307677.1674
MEM 140.570312 1554307677.2675
MEM 140.570312 1554307677.3675
MEM 140.570312 1554307677.4675
MEM 140.570312 1554307677.5675
MEM 140.570312 1554307677.6676
MEM 140.570312 1554307677.7676
MEM 140.570312 1554307677.8676
MEM 140.570312 1554307677.9676
MEM 140.570312 1554307678.0676
MEM 140.570312 1554307678.1677
MEM 140.570312 1554307678.2677
MEM 140.597656 1554307678.3677
MEM 140.597656 1554307678.4677
MEM 140.597656 1554307678.5678
MEM 140.597656 1554307678.6678
MEM 140.597656 1554307678.7678
MEM 140.597656 1554307678.8678
MEM 140.597656 1554307678.9679
MEM 140.597656 1554307679.0679
MEM 140.597656 1554307679.1679
MEM 140.597656 1554307679.2679
MEM 140.597656 1554307679.3679
MEM 140.597656 1554307679.4680
MEM 140.597656 1554307679.5680
MEM 140.597656 1554307679.6680
MEM 140.597656 1554307679.7680
MEM 140.597656 1554307679.8681
MEM 140.597656 1554307679.9681
MEM 140.597656 1554307680.0681
MEM 140.597656 1554307680.1681
MEM 140.597656 1554307680.2681
MEM 140.597656 1554307680.3682
MEM 140.597656 1554307680.4682
MEM 140.597656 1554307680.5682
MEM 140.597656 1554307680.6682
MEM 140.597656 1554307680.7683
MEM 140.597656 1554307680.8683
MEM 140.597656 1554307680.9683
MEM 140.597656 1554307681.0683
MEM 140.597656 1554307681.1683
MEM 140.597656 1554307681.2684
MEM 140.597656 1554307681.3684
MEM 140.597656 1554307681.4684
MEM 140.597656 1554307681.5684
MEM 140.597656 1554307681.6685
MEM 140.597656 1554307681.7685
MEM 140.597656 1554307681.8685
MEM 140.597656 1554307681.9685
MEM 140.597656 1554307682.0686
MEM 140.597656 1554307682.1686
MEM 140.597656 1554307682.2686
MEM 140.597656 1554307682.3686
MEM 140.597656 1554307682.4686
MEM 140.597656 1554307682.5687
MEM 140.597656 1554307682.6687
MEM 140.597656 1554307682.7687
MEM 140.597656 1554307682.8687
MEM 140.597656 1554307682.9688
MEM 140.597656 1554307683.0688
MEM 140.597656 1554307683.1688
MEM 140.597656 1554307683.2688
MEM 140.597656 1554307683.3688
MEM 140.597656 1554307683.4689
MEM 140.597656 1554307683.5689
MEM 140.597656 1554307683.6689
MEM 140.597656 1554307683.7689
MEM 140.597656 1554307683.8690
MEM 140.597656 1554307683.9690
MEM 140.597656 1554307684.0690
MEM 140.597656 1554307684.1690
MEM 140.597656 1554307684.2690
MEM 140.597656 1554307684.3691
MEM 140.597656 1554307684.4691
MEM 140.597656 1554307684.5691
MEM 140.597656 1554307684.6691
MEM 140.597656 1554307684.7692
MEM 140.597656 1554307684.8692
MEM 140.597656 1554307684.9692
MEM 140.597656 1554307685.0692
MEM 140.597656 1554307685.1693
MEM 140.597656 1554307685.2693
MEM 140.597656 1554307685.3693
MEM 140.597656 1554307685.4693
MEM 140.597656 1554307685.5693
MEM 140.597656 1554307685.6694
MEM 140.597656 1554307685.7694
MEM 140.597656 1554307685.8694
MEM 140.597656 1554307685.9694
MEM 140.597656 1554307686.0695
MEM 140.597656 1554307686.1695
MEM 140.597656 1554307686.2695
MEM 140.597656 1554307686.3695
MEM 140.597656 1554307686.4695
MEM 140.597656 1554307686.5696
MEM 140.597656 1554307686.6696
MEM 140.597656 1554307686.7696
MEM 140.597656 1554307686.8696
MEM 140.597656 1554307686.9697
MEM 140.597656 1554307687.0697
MEM 140.597656 1554307687.1697
MEM 140.597656 1554307687.2697
MEM 140.597656 1554307687.3697
MEM 140.597656 1554307687.4698
MEM 140.597656 1554307687.5698
MEM 140.597656 1554307687.6698
MEM 140.597656 1554307687.7698
MEM 140.597656 1554307687.8699
MEM 140.597656 1554307687.9699
MEM 140.597656 1554307688.0699
MEM 140.597656 1554307688.1699
MEM 140.597656 1554307688.2700
MEM 140.597656 1554307688.3700
MEM 140.597656 1554307688.4700
MEM 140.597656 1554307688.5700
MEM 140.597656 1554307688.6700
MEM 140.597656 1554307688.7701
MEM 140.597656 1554307688.8701
MEM 140.597656 1554307688.9701
MEM 140.597656 1554307689.0701
MEM 140.597656 1554307689.1702
MEM 140.597656 1554307689.2702
MEM 140.597656 1554307689.3702
MEM 140.597656 1554307689.4702
MEM 140.597656 1554307689.5702
MEM 140.597656 1554307689.6703
MEM 140.597656 1554307689.7703
MEM 140.597656 1554307689.8703
MEM 140.597656 1554307689.9703
MEM 140.597656 1554307690.0704
MEM 140.597656 1554307690.1704
MEM 140.597656 1554307690.2704
MEM 140.597656 1554307690.3704
MEM 140.597656 1554307690.4704
MEM 140.597656 1554307690.5705
MEM 140.597656 1554307690.6705
MEM 140.597656 1554307690.7705
MEM 140.597656 1554307690.8705
MEM 140.597656 1554307690.9706
MEM 140.597656 1554307691.0706
MEM 140.597656 1554307691.1706
MEM 140.597656 1554307691.2706
MEM 140.597656 1554307691.3707
MEM 140.597656 1554307691.4707
MEM 140.597656 1554307691.5707
MEM 140.597656 1554307691.6707
MEM 140.597656 1554307691.7707
MEM 140.597656 1554307691.8708
MEM 140.597656 1554307691.9708
MEM 140.597656 1554307692.0708
MEM 140.597656 1554307692.1708
MEM 140.597656 1554307692.2709
MEM 140.597656 1554307692.3709
MEM 140.597656 1554307692.4709
MEM 140.597656 1554307692.5709
MEM 140.597656 1554307692.6709
MEM 140.597656 1554307692.7710
MEM 140.597656 1554307692.8710
MEM 140.597656 1554307692.9710
MEM 140.597656 1554307693.0710
MEM 140.597656 1554307693.1711
MEM 140.597656 1554307693.2711
MEM 140.597656 1554307693.3711
MEM 140.597656 1554307693.4711
MEM 140.597656 1554307693.5712
MEM 140.597656 1554307693.6712
MEM 140.597656 1554307693.7712
MEM 140.597656 1554307693.8712
MEM 140.597656 1554307693.9712
MEM 140.597656 1554307694.0713
MEM 140.597656 1554307694.1713
MEM 140.597656 1554307694.2713
MEM 140.597656 1554307694.3713
MEM 140.597656 1554307694.4714
MEM 140.597656 1554307694.5714
MEM 140.597656 1554307694.6714
MEM 140.597656 1554307694.7714
MEM 140.597656 1554307694.8714
