CMDLINE c:\programdata\anaconda3\python.exe mem_test.py
MEM 0.460938 1554307761.6436
MEM 14.335938 1554307761.7436
MEM 23.136719 1554307761.8436
MEM 30.199219 1554307761.9436
MEM 37.066406 1554307762.0437
MEM 46.109375 1554307762.1437
MEM 56.820312 1554307762.2437
MEM 63.417969 1554307762.3437
MEM 74.609375 1554307762.4437
MEM 80.992188 1554307762.5438
MEM 89.359375 1554307762.6438
MEM 94.289062 1554307762.7438
MEM 104.187500 1554307762.8438
MEM 110.140625 1554307762.9439
MEM 116.023438 1554307763.0439
MEM 118.648438 1554307763.1439
MEM 118.722656 1554307763.2439
MEM 119.101562 1554307763.3439
MEM 125.367188 1554307763.4440
MEM 126.664062 1554307763.5440
MEM 127.417969 1554307763.6440
MEM 128.871094 1554307763.7440
MEM 132.632812 1554307763.8441
MEM 137.847656 1554307763.9441
MEM 138.433594 1554307764.0441
MEM 140.121094 1554307764.1441
MEM 140.488281 1554307764.2442
MEM 140.492188 1554307764.3442
MEM 140.492188 1554307764.4442
MEM 140.492188 1554307764.5442
MEM 140.492188 1554307764.6442
MEM 140.492188 1554307764.7443
MEM 140.492188 1554307764.8443
MEM 140.492188 1554307764.9443
MEM 140.492188 1554307765.0443
MEM 140.492188 1554307765.1444
MEM 140.492188 1554307765.2444
MEM 140.492188 1554307765.3444
MEM 140.492188 1554307765.4444
MEM 140.492188 1554307765.5445
MEM 140.492188 1554307765.6445
MEM 140.492188 1554307765.7445
MEM 140.492188 1554307765.8445
MEM 140.492188 1554307765.9445
MEM 140.492188 1554307766.0446
MEM 140.492188 1554307766.1446
MEM 140.492188 1554307766.2446
MEM 140.492188 1554307766.3446
MEM 140.492188 1554307766.4447
MEM 140.492188 1554307766.5447
MEM 140.492188 1554307766.6447
MEM 140.492188 1554307766.7447
MEM 140.492188 1554307766.8447
MEM 140.492188 1554307766.9448
MEM 140.492188 1554307767.0448
MEM 140.492188 1554307767.1448
MEM 140.492188 1554307767.2448
MEM 140.492188 1554307767.3449
MEM 140.492188 1554307767.4449
MEM 140.492188 1554307767.5449
MEM 140.492188 1554307767.6449
MEM 140.492188 1554307767.7449
MEM 140.492188 1554307767.8450
MEM 140.492188 1554307767.9450
MEM 140.492188 1554307768.0450
MEM 140.492188 1554307768.1450
MEM 140.492188 1554307768.2451
MEM 140.492188 1554307768.3451
MEM 140.492188 1554307768.4451
MEM 140.492188 1554307768.5451
MEM 140.492188 1554307768.6452
MEM 140.492188 1554307768.7452
MEM 140.492188 1554307768.8452
MEM 140.492188 1554307768.9452
MEM 140.492188 1554307769.0452
MEM 140.492188 1554307769.1453
MEM 140.492188 1554307769.2453
MEM 140.492188 1554307769.3453
MEM 140.492188 1554307769.4453
MEM 140.492188 1554307769.5454
MEM 140.492188 1554307769.6454
MEM 140.492188 1554307769.7454
MEM 140.492188 1554307769.8454
MEM 140.492188 1554307769.9454
MEM 140.492188 1554307770.0455
MEM 140.492188 1554307770.1455
MEM 140.492188 1554307770.2455
MEM 140.492188 1554307770.3455
MEM 140.492188 1554307770.4456
MEM 140.492188 1554307770.5456
MEM 140.492188 1554307770.6456
MEM 140.492188 1554307770.7456
MEM 140.492188 1554307770.8456
MEM 140.492188 1554307770.9457
MEM 140.492188 1554307771.0457
MEM 140.492188 1554307771.1457
