CMDLINE c:\programdata\anaconda3\python.exe mem_test.py
MEM 0.480469 1554482325.2895
MEM 14.183594 1554482325.3895
MEM 22.808594 1554482325.4895
MEM 30.101562 1554482325.5896
MEM 36.964844 1554482325.6896
MEM 44.804688 1554482325.7896
MEM 49.929688 1554482325.8897
MEM 49.933594 1554482325.9899
MEM 49.933594 1554482326.0907
MEM 49.933594 1554482326.1916
MEM 49.933594 1554482326.2922
MEM 49.933594 1554482326.3926
MEM 49.933594 1554482326.4927
MEM 49.933594 1554482326.5932
MEM 49.933594 1554482326.6940
MEM 54.800781 1554482326.7945
MEM 65.558594 1554482326.8945
MEM 72.066406 1554482326.9946
MEM 80.812500 1554482327.0946
MEM 90.484375 1554482327.1946
MEM 93.968750 1554482327.2946
MEM 100.222656 1554482327.3946
MEM 100.382812 1554482327.4947
MEM 100.644531 1554482327.5947
MEM 102.414062 1554482327.6947
MEM 106.062500 1554482327.7947
MEM 107.734375 1554482327.8948
MEM 108.492188 1554482327.9956
MEM 108.941406 1554482328.0957
MEM 109.093750 1554482328.1957
MEM 109.640625 1554482328.2957
MEM 109.703125 1554482328.3957
MEM 109.703125 1554482328.4958
MEM 109.703125 1554482328.5958
MEM 109.707031 1554482328.6958
MEM 109.707031 1554482328.7958
MEM 109.710938 1554482328.8959
MEM 109.765625 1554482328.9959
