CMDLINE c:\programdata\anaconda3\python.exe mem_test.py
MEM 0.367188 1554485875.7378
MEM 12.800781 1554485875.8402
MEM 23.332031 1554485875.9476
MEM 31.550781 1554485876.0592
MEM 37.468750 1554485876.1669
MEM 38.488281 1554485876.2747
MEM 39.300781 1554485876.3824
MEM 40.292969 1554485876.4905
MEM 40.851562 1554485876.5981
MEM 41.664062 1554485876.7056
MEM 42.300781 1554485876.8061
MEM 42.660156 1554485876.9136
MEM 43.914062 1554485877.0215
MEM 46.425781 1554485877.1255
MEM 47.082031 1554485877.2331
MEM 47.628906 1554485877.3368
MEM 48.667969 1554485877.4446
MEM 49.433594 1554485877.5561
MEM 50.281250 1554485877.6639
MEM 50.792969 1554485877.7719
MEM 51.128906 1554485877.8724
MEM 52.027344 1554485877.9799
MEM 52.816406 1554485878.0838
MEM 54.261719 1554485878.1917
MEM 55.515625 1554485878.2989
MEM 57.695312 1554485878.4066
MEM 58.984375 1554485878.5143
MEM 61.683594 1554485878.6178
MEM 63.500000 1554485878.7254
MEM 64.402344 1554485878.8262
MEM 65.132812 1554485878.9339
MEM 65.429688 1554485879.0339
MEM 66.726562 1554485879.1490
MEM 67.480469 1554485879.2570
MEM 68.027344 1554485879.3645
MEM 68.417969 1554485879.4720
MEM 68.855469 1554485879.5872
MEM 69.339844 1554485879.6873
MEM 69.726562 1554485879.7906
MEM 70.242188 1554485879.9020
MEM 70.960938 1554485880.0095
MEM 71.152344 1554485880.1205
MEM 71.378906 1554485880.2282
MEM 71.636719 1554485880.3359
MEM 72.789062 1554485880.4437
MEM 73.937500 1554485880.5590
MEM 74.507812 1554485880.6666
MEM 76.808594 1554485880.7675
MEM 77.203125 1554485880.8712
MEM 77.332031 1554485880.9787
MEM 77.824219 1554485881.0793
MEM 78.628906 1554485881.1869
MEM 79.152344 1554485881.2947
MEM 80.167969 1554485881.4022
MEM 80.953125 1554485881.5098
MEM 81.574219 1554485881.6176
MEM 82.042969 1554485881.7251
MEM 82.390625 1554485881.8366
MEM 82.750000 1554485881.9440
MEM 83.062500 1554485882.0442
MEM 83.871094 1554485882.1595
MEM 84.292969 1554485882.2671
MEM 84.800781 1554485882.3709
MEM 86.027344 1554485882.4784
MEM 87.847656 1554485882.5859
MEM 88.703125 1554485882.6936
MEM 89.066406 1554485882.7939
MEM 89.699219 1554485882.9018
MEM 90.496094 1554485883.0022
MEM 91.070312 1554485883.1023
MEM 91.492188 1554485883.2099
MEM 93.058594 1554485883.3174
MEM 95.207031 1554485883.4251
MEM 95.410156 1554485883.5327
MEM 95.433594 1554485883.6329
MEM 95.433594 1554485883.7405
MEM 95.437500 1554485883.8407
MEM 95.437500 1554485883.9486
MEM 95.437500 1554485884.0561
MEM 95.437500 1554485884.1607
MEM 95.437500 1554485884.2687
MEM 95.445312 1554485884.3763
MEM 95.882812 1554485884.4839
MEM 95.882812 1554485884.5880
MEM 95.937500 1554485884.6960
MEM 96.308594 1554485884.7961
MEM 96.839844 1554485884.8995
MEM 97.636719 1554485885.0071
MEM 98.410156 1554485885.1078
MEM 98.976562 1554485885.2229
MEM 100.117188 1554485885.3304
MEM 100.632812 1554485885.4381
MEM 101.277344 1554485885.5383
MEM 101.312500 1554485885.6499
MEM 101.695312 1554485885.7575
MEM 101.878906 1554485885.8579
MEM 103.070312 1554485885.9655
MEM 103.929688 1554485886.0731
MEM 103.929688 1554485886.1772
MEM 103.929688 1554485886.2848
MEM 103.929688 1554485886.3924
MEM 103.929688 1554485886.5001
MEM 103.929688 1554485886.6042
MEM 103.929688 1554485886.7119
MEM 103.929688 1554485886.8245
MEM 103.929688 1554485886.9321
MEM 103.929688 1554485887.0397
MEM 103.929688 1554485887.1474
MEM 103.929688 1554485887.2550
MEM 103.929688 1554485887.3552
MEM 103.929688 1554485887.4628
MEM 103.929688 1554485887.5630
MEM 103.953125 1554485887.6706
MEM 103.953125 1554485887.7708
MEM 103.953125 1554485887.8721
MEM 103.953125 1554485887.9797
MEM 103.953125 1554485888.0873
MEM 103.953125 1554485888.1949
MEM 103.953125 1554485888.3025
MEM 103.953125 1554485888.4102
MEM 103.953125 1554485888.5178
MEM 103.953125 1554485888.6254
MEM 103.953125 1554485888.7331
MEM 103.953125 1554485888.8372
MEM 103.953125 1554485888.9448
MEM 103.953125 1554485889.0525
MEM 103.953125 1554485889.1527
