CMDLINE c:\programdata\anaconda3\python.exe mem_test.py
MEM 0.433594 1554482723.5391
MEM 14.636719 1554482723.6392
MEM 23.171875 1554482723.7392
MEM 30.343750 1554482723.8392
MEM 37.050781 1554482723.9392
MEM 46.230469 1554482724.0392
MEM 49.718750 1554482724.1400
MEM 49.718750 1554482724.2403
MEM 49.718750 1554482724.3411
MEM 49.718750 1554482724.4413
MEM 49.718750 1554482724.5415
MEM 49.718750 1554482724.6425
MEM 49.718750 1554482724.7434
MEM 55.199219 1554482724.8437
MEM 66.378906 1554482724.9437
MEM 72.074219 1554482725.0437
MEM 81.167969 1554482725.1438
MEM 91.039062 1554482725.2438
MEM 94.417969 1554482725.3438
MEM 100.378906 1554482725.4438
MEM 100.476562 1554482725.5438
MEM 100.792969 1554482725.6439
MEM 103.507812 1554482725.7439
MEM 106.289062 1554482725.8439
MEM 108.066406 1554482725.9439
MEM 108.675781 1554482726.0440
MEM 109.281250 1554482726.1440
MEM 109.308594 1554482726.2440
MEM 109.777344 1554482726.3440
MEM 109.781250 1554482726.4441
MEM 109.785156 1554482726.5441
MEM 109.789062 1554482726.6441
MEM 109.789062 1554482726.7441
MEM 109.796875 1554482726.8441
MEM 109.882812 1554482726.9442
MEM 109.882812 1554482727.0442
MEM 109.898438 1554482727.1442
MEM 109.898438 1554482727.2442
MEM 109.898438 1554482727.3443
MEM 109.898438 1554482727.4443
MEM 109.898438 1554482727.5443
MEM 109.898438 1554482727.6443
MEM 109.980469 1554482727.7443
MEM 109.980469 1554482727.8444
MEM 109.980469 1554482727.9444
MEM 109.980469 1554482728.0444
MEM 109.980469 1554482728.1444
MEM 109.980469 1554482728.2445
MEM 109.980469 1554482728.3445
MEM 109.980469 1554482728.4445
MEM 110.042969 1554482728.5445
MEM 110.042969 1554482728.6445
MEM 110.042969 1554482728.7446
MEM 110.042969 1554482728.8446
MEM 110.042969 1554482728.9446
MEM 110.042969 1554482729.0446
MEM 110.042969 1554482729.1447
MEM 110.042969 1554482729.2447
MEM 110.042969 1554482729.3447
MEM 110.042969 1554482729.4447
MEM 110.042969 1554482729.5447
MEM 110.042969 1554482729.6448
MEM 110.042969 1554482729.7448
MEM 110.042969 1554482729.8448
MEM 110.042969 1554482729.9448
MEM 110.042969 1554482730.0449
MEM 110.042969 1554482730.1449
MEM 110.042969 1554482730.2449
MEM 110.042969 1554482730.3449
MEM 110.042969 1554482730.4450
MEM 110.042969 1554482730.5450
MEM 110.042969 1554482730.6450
MEM 110.042969 1554482730.7450
MEM 110.042969 1554482730.8450
MEM 110.042969 1554482730.9451
MEM 110.058594 1554482731.0451
MEM 110.058594 1554482731.1451
MEM 110.058594 1554482731.2451
MEM 110.058594 1554482731.3452
MEM 110.058594 1554482731.4452
MEM 110.058594 1554482731.5452
MEM 110.058594 1554482731.6452
MEM 110.058594 1554482731.7453
MEM 110.066406 1554482731.8453
MEM 110.066406 1554482731.9453
MEM 110.066406 1554482732.0453
MEM 110.066406 1554482732.1453
MEM 110.066406 1554482732.2454
MEM 110.070312 1554482732.3454
MEM 110.070312 1554482732.4454
MEM 110.070312 1554482732.5454
MEM 110.085938 1554482732.6455
MEM 110.085938 1554482732.7455
MEM 110.085938 1554482732.8455
MEM 110.085938 1554482732.9455
MEM 110.085938 1554482733.0455
MEM 110.085938 1554482733.1456
MEM 110.093750 1554482733.2456
MEM 110.093750 1554482733.3456
MEM 110.093750 1554482733.4456
MEM 110.093750 1554482733.5457
MEM 110.093750 1554482733.6457
MEM 110.097656 1554482733.7457
MEM 110.105469 1554482733.8457
MEM 110.167969 1554482733.9457
MEM 110.167969 1554482734.0458
MEM 110.167969 1554482734.1458
MEM 110.167969 1554482734.2458
MEM 110.167969 1554482734.3458
MEM 110.167969 1554482734.4459
MEM 110.167969 1554482734.5459
MEM 110.167969 1554482734.6459
MEM 110.175781 1554482734.7459
MEM 110.175781 1554482734.8460
MEM 110.195312 1554482734.9460
MEM 110.195312 1554482735.0460
MEM 110.210938 1554482735.1460
MEM 110.210938 1554482735.2460
MEM 110.210938 1554482735.3461
MEM 110.210938 1554482735.4461
MEM 110.210938 1554482735.5461
MEM 110.210938 1554482735.6461
MEM 110.210938 1554482735.7462
MEM 110.210938 1554482735.8462
MEM 110.210938 1554482735.9462
MEM 110.214844 1554482736.0462
MEM 110.214844 1554482736.1462
MEM 110.214844 1554482736.2463
MEM 110.214844 1554482736.3463
MEM 110.214844 1554482736.4463
MEM 110.214844 1554482736.5463
MEM 110.214844 1554482736.6464
MEM 110.214844 1554482736.7464
MEM 110.214844 1554482736.8464
MEM 110.214844 1554482736.9464
MEM 110.214844 1554482737.0464
MEM 110.214844 1554482737.1465
MEM 110.214844 1554482737.2465
MEM 110.214844 1554482737.3465
MEM 110.214844 1554482737.4465
MEM 110.214844 1554482737.5466
MEM 110.222656 1554482737.6466
MEM 110.222656 1554482737.7466
MEM 110.222656 1554482737.8466
MEM 110.222656 1554482737.9467
MEM 110.222656 1554482738.0467
MEM 110.222656 1554482738.1467
MEM 110.222656 1554482738.2467
MEM 110.222656 1554482738.3467
MEM 110.222656 1554482738.4468
MEM 110.222656 1554482738.5468
MEM 110.222656 1554482738.6468
MEM 110.222656 1554482738.7468
MEM 110.222656 1554482738.8469
MEM 110.222656 1554482738.9469
MEM 110.222656 1554482739.0469
MEM 110.222656 1554482739.1469
MEM 110.222656 1554482739.2469
MEM 110.222656 1554482739.3470
MEM 110.222656 1554482739.4470
MEM 110.222656 1554482739.5470
MEM 110.222656 1554482739.6470
MEM 110.222656 1554482739.7471
MEM 110.222656 1554482739.8471
MEM 110.222656 1554482739.9471
MEM 110.222656 1554482740.0471
MEM 110.222656 1554482740.1471
MEM 110.222656 1554482740.2472
MEM 110.222656 1554482740.3472
MEM 110.222656 1554482740.4472
MEM 110.222656 1554482740.5472
MEM 110.222656 1554482740.6473
MEM 110.222656 1554482740.7473
MEM 110.222656 1554482740.8473
MEM 110.222656 1554482740.9473
MEM 110.222656 1554482741.0474
MEM 110.222656 1554482741.1474
MEM 110.222656 1554482741.2474
MEM 110.222656 1554482741.3474
MEM 110.285156 1554482741.4474
MEM 110.285156 1554482741.5475
MEM 110.285156 1554482741.6475
MEM 110.285156 1554482741.7475
MEM 110.285156 1554482741.8475
MEM 110.285156 1554482741.9476
MEM 110.285156 1554482742.0476
MEM 110.285156 1554482742.1476
MEM 110.285156 1554482742.2476
MEM 110.285156 1554482742.3476
MEM 110.285156 1554482742.4477
MEM 110.285156 1554482742.5477
MEM 110.285156 1554482742.6477
MEM 110.285156 1554482742.7477
MEM 110.285156 1554482742.8478
MEM 110.285156 1554482742.9478
MEM 110.285156 1554482743.0478
MEM 110.285156 1554482743.1478
MEM 110.285156 1554482743.2478
