CMDLINE c:\programdata\anaconda3\python.exe mem_test.py
MEM 0.503906 1554310528.0584
MEM 17.156250 1554310528.1654
MEM 29.894531 1554310528.2725
MEM 40.164062 1554310528.3785
MEM 54.699219 1554310528.4855
MEM 57.718750 1554310528.5925
MEM 65.273438 1554310528.6986
MEM 73.468750 1554310528.8056
MEM 83.390625 1554310528.9126
MEM 93.636719 1554310529.0196
MEM 97.941406 1554310529.1267
MEM 102.949219 1554310529.2337
MEM 103.156250 1554310529.3407
MEM 103.421875 1554310529.4467
MEM 106.742188 1554310529.5538
MEM 111.687500 1554310529.6608
MEM 111.695312 1554310529.7678
MEM 114.140625 1554310529.8748
MEM 120.828125 1554310529.9818
MEM 128.136719 1554310530.0889
MEM 130.554688 1554310530.1959
MEM 137.503906 1554310530.3029
MEM 138.078125 1554310530.4099
MEM 139.863281 1554310530.5170
MEM 140.265625 1554310530.6230
MEM 138.449219 1554310530.7310
