CMDLINE c:\programdata\anaconda3\python.exe mem_test.py
MEM 0.503906 1554308967.4563
MEM 14.195312 1554308967.5563
MEM 22.777344 1554308967.6563
MEM 30.093750 1554308967.7563
MEM 37.082031 1554308967.8563
MEM 44.839844 1554308967.9564
MEM 56.320312 1554308968.0564
MEM 63.039062 1554308968.1564
MEM 74.503906 1554308968.2564
MEM 79.539062 1554308968.3565
MEM 88.605469 1554308968.4565
MEM 93.031250 1554308968.5565
MEM 101.011719 1554308968.6565
MEM 109.394531 1554308968.7566
MEM 113.628906 1554308968.8566
MEM 118.554688 1554308968.9566
MEM 118.648438 1554308969.0566
MEM 119.085938 1554308969.1566
MEM 121.542969 1554308969.2567
MEM 126.765625 1554308969.3574
MEM 126.785156 1554308969.4574
MEM 128.281250 1554308969.5575
MEM 130.843750 1554308969.6575
MEM 137.000000 1554308969.7575
MEM 138.324219 1554308969.8575
MEM 140.046875 1554308969.9575
MEM 140.601562 1554308970.0576
MEM 139.121094 1554308970.1576
