CMDLINE c:\programdata\anaconda3\python.exe mem_test.py
MEM 0.460938 1554309779.3696
MEM 14.128906 1554309779.4696
MEM 22.382812 1554309779.5696
MEM 30.179688 1554309779.6697
MEM 37.082031 1554309779.7697
MEM 45.781250 1554309779.8697
MEM 56.652344 1554309779.9697
MEM 63.402344 1554309780.0697
MEM 74.593750 1554309780.1698
MEM 81.042969 1554309780.2698
MEM 89.617188 1554309780.3698
MEM 94.808594 1554309780.4698
MEM 103.871094 1554309780.5699
MEM 110.105469 1554309780.6699
MEM 116.105469 1554309780.7699
MEM 118.531250 1554309780.8699
MEM 118.593750 1554309780.9700
MEM 118.859375 1554309781.0700
MEM 125.628906 1554309781.1700
MEM 126.660156 1554309781.2700
MEM 127.140625 1554309781.3700
MEM 128.718750 1554309781.4701
MEM 132.734375 1554309781.5701
MEM 138.183594 1554309781.6701
MEM 138.632812 1554309781.7701
MEM 140.339844 1554309781.8702
MEM 140.773438 1554309781.9702
MEM 136.000000 1554309782.0702
