CMDLINE c:\programdata\anaconda3\python.exe mem_test.py
MEM 0.488281 1554314121.4108
MEM 14.308594 1554314121.5108
MEM 22.941406 1554314121.6108
MEM 30.320312 1554314121.7109
MEM 36.914062 1554314121.8109
MEM 45.894531 1554314121.9109
MEM 56.726562 1554314122.0109
MEM 63.460938 1554314122.1110
MEM 74.597656 1554314122.2110
MEM 80.714844 1554314122.3110
MEM 89.292969 1554314122.4110
MEM 93.863281 1554314122.5110
MEM 103.710938 1554314122.6111
MEM 109.929688 1554314122.7111
MEM 116.511719 1554314122.8111
MEM 119.093750 1554314122.9111
MEM 119.109375 1554314123.0112
MEM 119.367188 1554314123.1112
MEM 125.582031 1554314123.2112
MEM 126.828125 1554314123.3112
MEM 127.265625 1554314123.4113
MEM 129.117188 1554314123.5113
MEM 132.660156 1554314123.6113
MEM 137.882812 1554314123.7113
MEM 138.460938 1554314123.8113
MEM 141.410156 1554314123.9114
MEM 149.507812 1554314124.0114
MEM 149.542969 1554314124.1114
MEM 149.691406 1554314124.2114
MEM 149.765625 1554314124.3115
MEM 149.781250 1554314124.4115
MEM 149.785156 1554314124.5115
MEM 149.785156 1554314124.6115
MEM 149.785156 1554314124.7116
MEM 149.785156 1554314124.8116
MEM 149.785156 1554314124.9116
MEM 149.785156 1554314125.0116
MEM 149.785156 1554314125.1116
MEM 149.785156 1554314125.2117
MEM 149.785156 1554314125.3117
MEM 149.785156 1554314125.4117
MEM 149.785156 1554314125.5117
MEM 149.785156 1554314125.6118
MEM 149.785156 1554314125.7118
MEM 149.785156 1554314125.8118
MEM 149.785156 1554314125.9118
MEM 149.785156 1554314126.0119
MEM 149.785156 1554314126.1119
MEM 149.785156 1554314126.2119
MEM 149.785156 1554314126.3119
MEM 149.785156 1554314126.4119
MEM 149.785156 1554314126.5120
MEM 149.785156 1554314126.6120
MEM 149.785156 1554314126.7120
MEM 149.785156 1554314126.8120
MEM 149.785156 1554314126.9121
MEM 149.785156 1554314127.0121
MEM 149.785156 1554314127.1121
MEM 149.785156 1554314127.2121
MEM 149.785156 1554314127.3121
MEM 149.785156 1554314127.4122
MEM 149.785156 1554314127.5122
MEM 149.785156 1554314127.6122
MEM 149.808594 1554314127.7122
MEM 149.808594 1554314127.8123
MEM 149.808594 1554314127.9123
MEM 149.808594 1554314128.0123
MEM 149.808594 1554314128.1123
MEM 149.808594 1554314128.2123
MEM 149.808594 1554314128.3124
MEM 149.867188 1554314128.4124
MEM 149.882812 1554314128.5124
MEM 149.882812 1554314128.6124
MEM 149.890625 1554314128.7125
MEM 149.890625 1554314128.8125
MEM 149.898438 1554314128.9125
MEM 149.898438 1554314129.0125
MEM 149.898438 1554314129.1125
