CMDLINE c:\programdata\anaconda3\python.exe mem_test.py
MEM 0.460938 1554314743.2907
MEM 14.250000 1554314743.3907
MEM 23.089844 1554314743.4908
MEM 30.273438 1554314743.5908
MEM 37.007812 1554314743.6908
MEM 46.351562 1554314743.7908
MEM 57.046875 1554314743.8908
MEM 63.679688 1554314743.9909
MEM 74.738281 1554314744.0909
MEM 81.671875 1554314744.1909
MEM 90.101562 1554314744.2909
MEM 95.128906 1554314744.3910
MEM 105.296875 1554314744.4910
MEM 110.117188 1554314744.5910
MEM 117.492188 1554314744.6910
MEM 119.046875 1554314744.7910
MEM 119.050781 1554314744.8911
MEM 119.492188 1554314744.9911
MEM 126.714844 1554314745.0911
MEM 127.144531 1554314745.1911
MEM 127.882812 1554314745.2912
MEM 130.343750 1554314745.3912
MEM 135.230469 1554314745.4912
MEM 137.957031 1554314745.5912
MEM 146.515625 1554314745.6912
MEM 149.273438 1554314745.7913
MEM 149.484375 1554314745.8913
MEM 149.492188 1554314745.9913
MEM 149.496094 1554314746.0913
MEM 149.496094 1554314746.1914
MEM 149.496094 1554314746.2914
MEM 149.496094 1554314746.3914
MEM 149.496094 1554314746.4914
MEM 149.496094 1554314746.5915
MEM 149.574219 1554314746.6915
MEM 149.578125 1554314746.7915
MEM 149.578125 1554314746.8915
MEM 149.578125 1554314746.9916
MEM 149.578125 1554314747.0916
MEM 149.582031 1554314747.1916
MEM 149.582031 1554314747.2916
MEM 149.582031 1554314747.3916
MEM 149.625000 1554314747.4917
MEM 149.625000 1554314747.5917
MEM 149.625000 1554314747.6917
MEM 149.625000 1554314747.7917
MEM 149.625000 1554314747.8918
MEM 149.625000 1554314747.9918
MEM 149.625000 1554314748.0918
MEM 149.625000 1554314748.1918
MEM 149.625000 1554314748.2918
MEM 149.625000 1554314748.3919
MEM 149.625000 1554314748.4919
MEM 149.636719 1554314748.5919
MEM 149.738281 1554314748.6919
MEM 149.750000 1554314748.7920
MEM 149.781250 1554314748.8920
MEM 149.781250 1554314748.9920
MEM 149.785156 1554314749.0920
MEM 149.785156 1554314749.1920
MEM 149.785156 1554314749.2921
MEM 149.785156 1554314749.3921
MEM 149.785156 1554314749.4921
MEM 149.785156 1554314749.5921
MEM 149.785156 1554314749.6922
MEM 149.785156 1554314749.7922
MEM 149.785156 1554314749.8922
MEM 149.812500 1554314749.9922
MEM 149.812500 1554314750.0923
MEM 149.812500 1554314750.1923
MEM 149.812500 1554314750.2923
MEM 149.812500 1554314750.3923
MEM 149.820312 1554314750.4923
MEM 149.820312 1554314750.5924
MEM 149.835938 1554314750.6924
MEM 149.835938 1554314750.7924
MEM 149.859375 1554314750.8924
MEM 149.886719 1554314750.9925
MEM 149.937500 1554314751.0925
MEM 149.937500 1554314751.1925
MEM 149.937500 1554314751.2925
MEM 149.937500 1554314751.3925
MEM 149.937500 1554314751.4926
MEM 149.937500 1554314751.5926
MEM 149.937500 1554314751.6926
MEM 149.941406 1554314751.7926
MEM 149.941406 1554314751.8927
MEM 149.941406 1554314751.9927
MEM 149.941406 1554314752.0927
MEM 149.941406 1554314752.1927
MEM 149.941406 1554314752.2927
MEM 149.941406 1554314752.3928
MEM 149.941406 1554314752.4928
MEM 149.941406 1554314752.5928
MEM 149.941406 1554314752.6928
MEM 149.941406 1554314752.7929
MEM 149.949219 1554314752.8929
MEM 149.949219 1554314752.9929
MEM 149.949219 1554314753.0929
MEM 149.949219 1554314753.1930
MEM 149.949219 1554314753.2930
