CMDLINE c:\programdata\anaconda3\python.exe mem_test.py
MEM 0.789062 1554268383.7511
MEM 15.621094 1554268383.8581
MEM 23.757812 1554268383.9652
MEM 31.585938 1554268384.0722
MEM 38.011719 1554268384.1792
